Managed Account;MAC;Device Name;IP Address;IPv6 Address;Device Type;Serial Number;Description;Active S/W Version;Duration;Status;Status Time;Status Time (Seconds);Height
Base Infrastructure;58:C1:7A:71:A2:1A;CES.La_Jagua-6_AP1;10.70.88.194;N/A;ePMP Force 300C AP;E8XB0L0ZP170;30693-ZCKE497;4.6.1-RC26;110d 21h 12m;Online;1d 23h 3m;169383;N/A
Base Infrastructure;00:04:56:42:76:00;47705-HOQK071;10.71.51.189;N/A;ePMP Force 300-19R SM;E6VG01H6C6K1;47705-HOQK071_SANTIAGO DE TOLU NUEVA ERA;4.6.1-RC26;110d 22h 43m;Online;2d 17h 53m;237183;N/A
Base Infrastructure;58:C1:7A:72:0F:E8;31181-ZGYO473;10.71.37.167;N/A;ePMP Force 300C SM;E8XE07C8188X;MONTERIA_COSTA_DE_ORO;4.6.1-RC26;110d 22h 46m;Online;1d 15h 2m;140523;N/A
Base Infrastructure;00:04:56:42:23:5C;47224-HOQK402;10.71.52.123;N/A;ePMP Force 300-19R SM;E6VE07GPXMQJ;47224-HOQK402 - V LA UNION VEREDA;4.6.1-RC26;110d 22h 47m;Offline;89d 5h 28m;7709312;N/A
Base Infrastructure;58:C1:7A:72:CA:C8;ANT.Ituango_AP2;10.68.214.34;N/A;ePMP 3000L AP;E8XF0BX2ZGG8;20292-ZIFV809, 20259-ZIFV820,20277-ZIFV931,20274-ZIFV816;4.6.2;110d 23h 45m;Offline;16d 14h 31m;1434664;N/A
Base Infrastructure;00:04:56:42:88:72;SAN.CASA-BAJA_AP1;10.70.119.150;N/A;ePMP Force 300-19R AP;;;4.6.1-RC14;111d 0h 17m;Online;0d 3h 39m;13151;N/A
Base Infrastructure;00:04:56:46:4F:AA;36635-ZIFV587;10.67.195.121;N/A;ePMP Force 300-19R SM;E6XA0CL3V2XW;36635-ZIFV587_ ÍQUIRA _CRISTOBAL_COLON;4.6.1-RC26;111d 0h 46m;Online;25d 21h 31m;2237480;N/A
Base Infrastructure;58:C1:7A:71:2A:1E;SUC.Nuevaera_AP1;10.71.51.188;N/A;ePMP 3000 AP;E8XA0ZSBHF0M;47705-HOQK071;4.6.1-RC26;111d 1h 25m;Online;1d 16h 20m;145253;N/A
Base Infrastructure;00:04:56:42:9D:8C;37565-ZCKE734;10.70.41.62;N/A;ePMP Force 300-19R SM;E6VH03B39W1F;RIOHACHA_EBANAL;4.6.1-RC26;111d 19h 41m;Online;6d 17h 1m;579702;N/A
Base Infrastructure;00:04:56:46:3C:E4;46164-KPWM185;10.68.251.133;N/A;ePMP Force 300-19R SM;E6XA08X07233;VEREDA_LAS_AMARILLAS;4.7-RC14;111d 20h 20m;Online;36d 19h 49m;3181790;N/A
Base Infrastructure;00:04:56:42:8A:82;37629-ZCKE548;10.70.94.90;N/A;ePMP Force 300-19R SM;E6VG0CD0BQWH;MAICAO_EL_LIMONCITO;4.6.1-RC26;111d 21h 36m;Online;5d 21h 6m;508007;N/A
Base Infrastructure;00:04:56:27:2A:29;HUI.PACARNI_AP1;10.67.195.120;N/A;ePMP 3000 AP;E8WK19CF5GGW;;4.6.2;111d 22h 21m;Online;25d 21h 31m;2237460;N/A
Base Infrastructure;58:C1:7A:72:6E:A7;74559-KPWM155;10.70.42.151;N/A;ePMP Force 300C SM;E8XF026K4Z6P;MANAURE- COMUNIDAD ASHAJAA DE JAMUCHECHON;4.6.2;111d 22h 23m;Offline;75d 20h 17m;6553076;N/A
Base Infrastructure;58:C1:7A:FB:99:C0;COR-LAS-MARGARITAS;10.71.39.244;N/A;cnMatrix TX2020R-P;XMXDMPCRB1KD;;4.1.0-300;112d 0h 9m;Online;18d 1h 52m;1561955;N/A
Base Infrastructure;00:04:56:46:40:2A;49009-KPWM634;10.67.195.207;N/A;ePMP Force 300-19R SM;E6XA09CZP8C5;PLANADAS-VDA EL JORDAN;4.6.2;112d 0h 10m;Offline;110d 12h 35m;9549304;N/A
Base Infrastructure;00:04:56:27:67:1A;SND.Puente sogamoso_AP2;10.65.191.248;N/A;ePMP Force 300C AP;E8WL13TS737N;44786-KPWM651;4.6.1-RC26;112d 0h 30m;Online;5d 6h 43m;456189;N/A
Base Infrastructure;58:C1:7A:72:C8:F7;COR.Cienaga de Oro-3;10.71.32.226;N/A;ePMP 3000L AP;E8XF0BQW6X2T;31506-ZGYO460;4.6.1-RC26;112d 1h 26m;Online;1d 21h 29m;163754;N/A
Base Infrastructure;58:C1:7A:72:69:A0;46793-HOQK370;10.68.250.5;N/A;ePMP Force 300C SM;E8XF01Q8QPC1;46793-HOQK370 VEREDA MORROS SOCORRO;4.6.1-RC26;112d 2h 25m;Online;22d 20h 18m;1973881;N/A
Base Infrastructure;58:C1:7A:71:93:2F;73849-HOQK909;10.70.42.74;N/A;ePMP Force 300C SM;E8XB0GPV1371;MANAURE_RANCHERIA_DE_MARACARI;4.6.1-RC26;112d 3h 17m;Offline;62d 0h 22m;5358152;N/A
Base Infrastructure;00:04:56:42:73:50;44890-HOQK328;10.68.255.188;N/A;ePMP Force 300-19R SM;E6VG013QWXKG;CORRREGIMIENTO_DE_BERBEO_BOLIVAR;4.6.1-RC26;112d 16h 47m;Online;11d 4h 26m;966404;N/A
Base Infrastructure;00:04:56:46:60:FF;SND-VELEZ-1_AP3;10.68.255.182;N/A;ePMP Force 300-19R AP;E6XB06G5RLPR;44890-HOQK328;4.6.1-RC26;112d 17h 12m;Online;2d 6h 25m;195900;N/A
Base Infrastructure;58:C1:7A:71:92:63;GUJ.Manaure_AP6;10.70.42.76;N/A;ePMP Force 300C AP;E8XB0GML08JV;73849-HOQK909;4.6.1-RC26;112d 17h 20m;Offline;29d 1h 20m;2510428;50 Meters
Base Infrastructure;58:C1:7A:FA:52:20;HUI-PACARNI;10.67.200.93;N/A;cnMatrix TX2020R-P;XMXCMMMRN6KV;;4.1.0-300;112d 18h 14m;Online;121d 1h 55m;10461332;N/A
Base Infrastructure;00:04:56:46:4E:00;ATL.saco1;10.70.44.66;N/A;ePMP Force 300-19R AP;E6XA0CC04D7F;;4.6.1-RC26;112d 19h 30m;Online;0d 19h 19m;69574;N/A
Base Infrastructure;58:C1:7A:71:93:5F;37094-KPWM266;10.67.202.150;N/A;ePMP Force 300C SM;E8XB0GQDR61G;Pitalito_JORGE VILLAMIL;4.6.2;112d 19h 34m;Online;8d 20h 28m;764907;N/A
Base Infrastructure;00:04:56:46:62:55;42974-ZZZY667;10.65.184.147;N/A;ePMP Force 300-19R SM;E6XB06MV4LQD;42974-ZZZY667 SAN ANTONIO OCANA;4.6.1-RC26;112d 20h 18m;Online;14d 19h 51m;1281101;N/A
Base Infrastructure;58:C1:7A:71:92:48;47185-VZVF154;10.71.51.225;N/A;ePMP Force 300C SM;E8XB0GM9XBXF;47185-VZVF154-CE-DIAZGRANADF;4.6.1-RC26;112d 20h 26m;Online;2d 23h 54m;258883;N/A
Base Infrastructure;00:04:56:46:4B:5E;GUJ.La Enea;10.70.41.61;N/A;ePMP Force 300-19R AP;E6XA0BZRSG4C;37565-ZCKE734;4.6.1-RC26;112d 20h 29m;Online;0d 12h 1m;43303;N/A
Base Infrastructure;00:04:56:42:8A:CC;MAI.Loma Fresca_AP1;10.70.42.106;N/A;ePMP Force 300-19R AP;E6VG0CF733VG;;4.6.1-RC26;112d 20h 31m;Online;112d 20h 52m;9751925;N/A
Base Infrastructure;00:04:56:46:45:56;47566-ZZZY422;10.70.119.173;N/A;ePMP Force 300-19R SM;E6XA0B41Q1XV;47566-ZZZY422_plo_alto.chupa;4.7-RC14;112d 20h 39m;Online;0d 10h 28m;37735;N/A
Base Infrastructure;00:04:56:46:49:68;31305-KPWM764;10.71.35.115;N/A;ePMP Force 300-19R SM;E6XA0BPD0CTW;31305-KPWM764 BUENAVISTA VEREDA EL MARTILLO;4.6.2;112d 20h 51m;Offline;104d 22h 22m;9066176;N/A
Base Infrastructure;58:C1:7A:71:92:E1;46216-KPWM513;10.65.190.232;N/A;ePMP Force 300C SM;E8XB0GP0JVZW;ESCUELA_RURAL_EL_LIMONAL;4.6.1-RC26;112d 21h 2m;Online;36d 20h 1m;3182491;N/A
Base Infrastructure;58:C1:7A:71:91:C4;BOL.San Jacinto Cauca_AP2;10.71.51.224;N/A;ePMP Force 300C AP;E8XB0GKTRL79;;4.6.1-RC26;112d 21h 40m;Online;2d 12h 37m;218270;40 Meters
Base Infrastructure;00:04:56:46:62:6B;CES.SAN SEBASTIAN_AP2;10.70.44.40;N/A;ePMP Force 300-19R AP;E6XB06N7P8ZG;30492-HOQK131;4.6.1-RC26;112d 22h 5m;Online;0d 11h 59m;43191;N/A
Base Infrastructure;58:C1:7A:72:DD:D3;SND.Barichara_AP4;10.68.250.4;N/A;ePMP Force 300C AP;E8XF0DQ7P4C2;46793-HOQK370;4.6.1-RC26;112d 22h 54m;Online;8d 22h 13m;771227;N/A
Base Infrastructure;00:04:56:46:41:5C;39419-KPWM748;10.67.197.169;N/A;ePMP Force 300-19R SM;E6XA09K28F3Z;VDA_AGALNDA;4.6.1-RC26;112d 23h 48m;Online;8d 21h 57m;770279;N/A
Base Infrastructure;00:04:56:46:5B:F5;32504-HOQK344;10.71.51.135;N/A;ePMP Force 300-19R SM;E6XB05QNW0WW;EL_GUAMO;4.6.1-RC26;113d 0h 20m;Online;2d 5h 36m;192970;N/A
Base Infrastructure;00:04:56:46:5E:13;COR.Terron_AP1;10.71.51.134;N/A;ePMP Force 300-19R AP;E6XB061PPRGD;32504-HOQK344;4.6.1-RC26;113d 0h 25m;Online;0d 8h 13m;29598;N/A
Base Infrastructure;00:04:56:42:71:1C;37635-VZVF845;10.70.42.105;N/A;ePMP Force 300-19R SM;E6VG00SBMR1R;SEDE_CARRAIPIA;4.6.1-RC26;113d 1h 19m;Online;4d 17h 51m;409888;N/A
Base Infrastructure;58:C1:7A:72:D5:A2;SND.Piedecuesta-1_AP1;10.68.251.132;N/A;ePMP 3000L AP;E8XF0CXXT4M6;46163-KPWM184;4.6.1-RC26;113d 1h 25m;Online;10d 22h 27m;944822;N/A
Base Infrastructure;00:04:56:46:5B:4F;44734-HOQK326;10.68.252.165;N/A;ePMP Force 300-19R SM;E6XB05MWHMK3;BARBOSA_VDA BUENAVISTA;4.6.1-RC26;113d 3h 31m;Online;2d 7h 12m;198735;N/A
Base Infrastructure;00:04:56:46:48:A4;48377-ZCKE528;10.67.204.80;N/A;ePMP Force 300-19R SM;E6XA0BL4ZM49;CUNDAY_VDA_SAN_PABLO_SEDE_PRINCIPAL;4.6.2;113d 3h 52m;Online;26d 2h 38m;2255887;N/A
Base Infrastructure;00:04:56:46:5F:43;SND.Granadillo_AP2;10.68.252.164;N/A;ePMP Force 300-19R AP;E6XB066RGZCB;44734-HOQK326;4.6.1-RC26;113d 15h 22m;Online;2d 6h 39m;196768;N/A
Base Infrastructure;58:C1:7A:72:CA:7D;COR.LAS MARGARITAS_AP4;10.71.35.114;N/A;ePMP 3000L AP;E8XF0BW7T5BT;31305-KPWM764;4.6.2;113d 18h 49m;Offline;104d 22h 22m;9066176;N/A
Base Infrastructure;58:C1:7A:FA:3C:A0;SAN-RB-CASA-BAJA;10.70.119.158;N/A;cnMatrix EX1010;XMXCMMHQV1P9;;4.1.0-300;113d 20h 1m;Online;0d 2h 19m;8397;N/A
Base Infrastructure;00:04:56:46:4D:A0;39168-KPWM392;10.66.103.243;N/A;ePMP Force 300-19R SM;E6XA0C9DJ80V;Puerto Gaitan_VDA ALTO MANACACIAS;4.6.1-RC26;113d 20h 32m;Online;0d 14h 20m;51627;N/A
Base Infrastructure;00:04:56:46:50:08;31484-ZGYO256;10.71.38.229;N/A;ePMP Force 300-19R SM;E6XA0CMNHBMZ;CEJA_GRANDE;4.6.1-RC26;113d 21h 7m;Online;15d 21h 52m;1374727;N/A
Base Infrastructure;58:C1:7A:72:12:88;SND.CHARALA-AP2;10.68.253.141;N/A;ePMP Force 300C AP;E8XE07LQLCQ1;45039-VZVF299;4.6.1-RC26;113d 22h 7m;Offline;30d 21h 22m;2668923;N/A
Base Infrastructure;00:04:56:42:8A:0A;20003-ZZZY360;10.68.230.211;N/A;ePMP Force 300-19R SM;E6VG0CB0STN0;I.E.R_JOSE MARIA OBANDO;4.6.1-RC26;113d 22h 14m;Online;2d 3h 18m;184700;N/A
Base Infrastructure;00:04:56:46:5B:97;47586-HOQK501;10.71.50.205;N/A;ePMP Force 300-19R SM;E6XB05P3031T;47586-HOQK501-SAN ONOFRE-AGUAS NEGRAS;4.6.1-RC26;113d 22h 35m;Online;13d 20h 2m;1195354;N/A
Base Infrastructure;00:04:56:42:88:2C;20292-ZIFV809;10.68.214.43;N/A;ePMP Force 300-19R SM;E6VG0C21ZLLH;20292-ZIFV809_ ITUANGO- PALOBLANCO;4.6.2;114d 0h 8m;Offline;16d 14h 49m;1435774;N/A
Base Infrastructure;58:C1:7A:72:D0:EC;GUJ.Cuatro Vias AP_9;10.70.93.146;N/A;ePMP 3000L AP;E8XF0CHJD3CM;73891-KPWM554, 73895-VZVF204, 74559-KPWM155,;4.6.1-RC26;114d 0h 22m;Online;89d 1h 22m;7694526;N/A
Base Infrastructure;00:04:56:46:40:0C;13667-VZVF312;10.71.34.249;N/A;ePMP Force 300-19R SM;E6XA09CGMNZ3;PURÍSIMA DE LA CONCEPCIÓN_BUHIO;4.6.1-RC26;114d 1h 37m;Online;12d 22h 3m;1116222;N/A
Base Infrastructure;58:C1:7A:71:EB:03;44786-KPWM651;10.65.191.249;N/A;ePMP Force 300C SM;E8XE03K1CBCC;BARRANCABERMEJA_VEREDA_TERMOGALAN;4.6.1-RC26;114d 4h 0m;Online;22d 3h 53m;1914838;N/A
Base Infrastructure;00:04:56:46:4B:E0;MET.Pto_Gaitan-2;10.66.103.242;N/A;ePMP Force 300-19R AP;E6XA0C1XD89V;39168-KPWM392;4.6.1-RC26;114d 18h 39m;Online;0d 14h 19m;51585;N/A
Base Infrastructure;00:04:56:46:62:7B;42954-ZZZY156;10.68.251.36;N/A;ePMP Force 300-19R SM;E6XB06NHQCK4;42954-ZZZY156;4.6.1-RC26;114d 20h 36m;Online;114d 1h 58m;9856711;N/A
Base Infrastructure;58:C1:7A:72:DC:EF;45925-HOQK375;10.67.203.87;N/A;ePMP Force 300C SM;E8XF0DMPQQNN;ILARCUTA_TIENDA_NUEVA;4.6.1-RC26;114d 23h 2m;Online;35d 2h 24m;3032663;N/A
Base Infrastructure;00:04:56:42:22:5C;26666-KPWM730;10.68.246.153;N/A;ePMP Force 300-19R SM;E6VE07BFW390;Samana_Vda_Alejand;4.6.1-RC26;115d 17h 11m;Offline;42d 12h 59m;3675547;N/A
Base Infrastructure;00:04:56:42:73:38;49084-HOQK475;10.66.102.42;N/A;ePMP Force 300-19R SM;E6VG013B2G6X;PLANADAS VDA ALTOSANO BAJO;4.6.2;115d 18h 51m;Offline;0d 13h 40m;49223;N/A
Base Infrastructure;00:04:56:42:9E:32;54719-ZIFV818;10.68.209.43;N/A;ePMP Force 300-19R SM;E6VH03DVLPMM;C.E.R_MARIA BONITA;4.6.2;115d 19h 53m;Offline;9d 12h 16m;821770;N/A
Base Infrastructure;00:04:56:42:87:24;ANT.Ituango_AP3;10.68.209.42;N/A;ePMP Force 300-19R AP;E6VG0BWMHFNZ;54719-ZIFV818;4.6.2;115d 20h 0m;Offline;9d 12h 16m;821773;N/A
Base Infrastructure;00:04:56:46:60:91;30560-HOQK094_SEDE MANUEL ELKIN;10.70.43.138;N/A;ePMP Force 300-19R SM;E6XB06DB31KG;30560-HOQK094_SEDE MANUEL ELKIN PATARROYO;4.6.1-RC26;115d 20h 39m;Offline;0d 2h 49m;10177;N/A
Base Infrastructure;00:04:56:46:5C:89;47562-HOQK496;10.71.50.199;N/A;ePMP Force 300-19R SM;E6XB05T470Q6;47562-HOQK496-SAN ONOFRE -BERLIN;4.6.1-RC26;115d 20h 58m;Offline;0d 2h 59m;10777;N/A
Base Infrastructure;00:04:56:46:4B:BC;MET.Santo_Domingo_AP2;10.67.195.178;N/A;ePMP Force 300-19R AP;E6XA0C1BFF89;39419-KPWM748;4.6.1-RC26;115d 21h 25m;Online;11d 20h 31m;1024281;N/A
Base Infrastructure;00:04:56:46:60:0D;74125-ZCKE964;10.70.94.219;N/A;ePMP Force 300-19R SM;E6XB06B4MDNK;74125-ZCKE964-LAPAZ-VDAELMIRADOR;4.6.1-RC26;115d 22h 12m;Online;22d 22h 12m;1980727;N/A
Base Infrastructure;00:04:56:46:5E:CD;CES.San Jose Oriente_AP2;10.70.94.218;N/A;ePMP Force 300-19R AP;E6XB064SWFJ7;74125-ZCKE964;4.6.1-RC26;115d 22h 17m;Online;1d 6h 55m;111343;N/A
Base Infrastructure;00:04:56:27:80:06;COR.El Hueso_AP4;10.71.34.248;N/A;ePMP 3000L AP;E8WL1D54ZQKN;13667-VZVF312;4.6.1-RC26;115d 22h 18m;Online;3d 21h 55m;338101;N/A
Base Infrastructure;00:04:56:46:60:35;SND.Charala-2 AP1;10.65.191.21;N/A;ePMP Force 300-19R AP;E6XB06BS9SBM;46066-KPWM514;4.6.1-RC26;115d 22h 31m;Online;2d 18h 46m;240384;N/A
Base Infrastructure;00:04:56:42:8B:00;COR.Lorica-7;10.71.34.179;N/A;ePMP Force 300-19R AP;E6VG0CG3RXR3;31689-ZGYO102;4.6.1-RC14;116d 0h 30m;Online;3d 16h 45m;319544;N/A
Base Infrastructure;58:C1:7A:FB:C5:40;MAI-Boscan;10.70.43.30;N/A;cnMatrix TX2020R-P;XMXDMPKLL5B9;;4.1.0-300;116d 0h 34m;Online;116d 1h 23m;10027424;N/A
Base Infrastructure;00:04:56:46:4F:54;48601-KPWM369;10.67.207.89;N/A;ePMP Force 300-19R SM;E6XA0CJNK5PM;GUAMO VDA LA LUISA;4.6.1-RC26;116d 14h 24m;Online;37d 20h 46m;3271565;N/A
Base Infrastructure;00:04:56:46:4E:1A;TOL_GUAMO_2_AP1;10.67.207.88;N/A;ePMP Force 300-19R AP;E6XA0CCFC3T1;48601-KPWM369;4.6.1-RC26;116d 15h 57m;Online;0d 4h 13m;15201;N/A
Base Infrastructure;00:04:56:42:3C:2C;41955-ZIFV771;10.68.254.175;N/A;ePMP Force 300-19R SM;E6VE0DZ24SDJ;41955-ZIFV771_MINUTO_DE_DIOS_INST_TEC_JORGE_GAITAN_DURAN;4.6.2;116d 18h 31m;Offline;0d 0h 4m;277;N/A
Base Infrastructure;58:C1:7A:72:6A:93;73936-KPWM589;10.70.42.144;N/A;ePMP Force 300C SM;E8XF01SZKFCV;ALBANIA- CORREGIMIENTO DE WARE WAREN;4.6.1-RC26;116d 18h 34m;Online;2d 1h 26m;177990;N/A
Base Infrastructure;00:04:56:42:89:6C;CAD.SAN_DIEGO_AP3;10.68.246.152;N/A;ePMP Force 300-19R AP;E6VG0C7C6Q3B;;4.6.2;116d 18h 44m;Offline;15d 21h 41m;1374066;N/A
Base Infrastructure;00:04:56:46:49:32;43355-VZVF919;10.68.250.147;N/A;ePMP Force 300-19R SM;E6XA0BNHX6H5;SARDINATA_BALSAMINA;4.6.1-RC26;116d 20h 1m;Online;9d 1h 37m;783424;N/A
Base Infrastructure;00:04:56:46:4E:EC;NOR.La Curva_AP2;10.68.250.146;N/A;ePMP Force 300-19R AP;E6XA0CGXHDH3;43355-VZVF919;4.6.1-RC26;116d 20h 6m;Online;4d 3h 58m;359924;78 Meters
Base Infrastructure;00:04:56:42:9E:B8;NOR.Chinacota 3_AP1;10.65.184.164;N/A;ePMP Force 300-19R AP;E6VH03H37LKD;42312-ZGYO679;4.6.1-RC26;116d 20h 20m;Online;11d 23h 12m;1033976;N/A
Base Infrastructure;00:04:56:27:85:A9;ANT.Granada_AP1;10.68.229.88;N/A;ePMP 3000L AP;E8WL1DQLK5J0;;4.6.1-RC26;116d 21h 4m;Online;20d 22h 28m;1808887;N/A
Base Infrastructure;00:04:56:46:4C:6E;47931-HOQK030;10.67.204.225;N/A;ePMP Force 300-19R SM;E6XA0C49ZWR5;VDA EL FIERRO ANZO;4.6.1-RC26;116d 22h 39m;Online;15d 2h 4m;1303460;N/A
Base Infrastructure;58:C1:7A:71:A5:5F;74555-KPWM267;10.70.42.156;N/A;ePMP Force 300C SM;E8XB0LB8JS29;MAICAO_KM 47 VÍA R/CHA;4.6.1-RC26;116d 23h 5m;Online;0d 1h 44m;6264;N/A
Base Infrastructure;00:04:56:42:6F:E8;IE SINCELEJITO SEDE EL INDIO;10.71.54.137;N/A;ePMP Force 300-19R SM;;;4.6.1-RC14;116d 23h 12m;Offline;109d 12h 2m;9460937;N/A
Base Infrastructure;00:04:56:46:5C:21;47605-HOQK354;10.70.119.166;N/A;ePMP Force 300-19R SM;;47605-HOQK354-SAN ONOFRE-LA LIBERTAD;4.6.1-RC14;116d 23h 25m;Online;4d 20h 8m;418119;N/A
Base Infrastructure;00:04:56:46:5B:43;73885-ZIFV844;10.70.42.142;N/A;ePMP Force 300-19R SM;E6XB05MPRTSW;MAICAO_KM 35 VÍA ALBANIA;4.6.1-RC26;116d 23h 43m;Online;0d 21h 38m;77886;N/A
Base Infrastructure;58:C1:7A:72:69:1F;42746-ZIFV263;10.68.251.239;N/A;ePMP Force 300C SM;;HACARÍ_VDA LA LAGUNA;4.6.1-RC14;117d 0h 16m;Online;0d 18h 20m;66008;N/A
Base Infrastructure;58:C1:7A:72:3C:AF;42741-ZIFV266;10.68.251.243;N/A;ePMP Force 300C SM;;42741-ZIFV266-HACARI-CENT EDUC RUR SAN SEBASTIAN;4.6.1-RC14;117d 0h 44m;Offline;114d 17h 47m;9913675;N/A
Base Infrastructure;00:04:56:42:30:70;ANT.Mutata;10.68.227.86;N/A;ePMP Force 300-19R AP;E6VE09BHJJKL;70258-ZIFV676;4.6.1-RC26;117d 1h 10m;Online;2d 8h 4m;201869;N/A
Base Infrastructure;00:04:56:46:4E:AE;48822-ZCKE895;10.67.205.169;N/A;ePMP Force 300-19R SM;E6XA0CFW2K2X;MELGAR LA ARABIA;4.6.2;117d 1h 20m;Offline;0d 4h 3m;14617;N/A
Base Infrastructure;00:04:56:42:75:64;44708-HOQK279;10.68.252.60;N/A;ePMP Force 300-19R SM;;44708-HOQK279_ARATOCA_VEREDA CLAVELLINAS;4.6.1-RC14;117d 3h 36m;Online;8d 6h 20m;714011;N/A
Base Infrastructure;00:04:56:42:86:36;49151-HOQK156;10.66.96.59;N/A;ePMP Force 300-19R SM;;PURIFICACION_SANTA LUCIA;4.6.1-RC14;117d 17h 53m;Offline;2d 8h 48m;204493;N/A
Base Infrastructure;00:04:56:42:70:14;26865-ZIFV219;10.68.240.149;N/A;ePMP Force 300-19R SM;E6VG00MXW2T8;Villlamaria_La Floresta;4.5.6;117d 18h 1m;Online;28d 3h 30m;2431855;N/A
Base Infrastructure;00:04:56:42:88:10;MAN.Alto_Tablazo;10.68.240.148;N/A;ePMP Force 300-19R AP;E6VG0C1KTK8S;26865-ZIFV219;4.6.2;117d 18h 10m;Online;1d 23h 10m;169846;N/A
Base Infrastructure;00:04:56:42:31:82;TOL_Purgatorio_AP1;10.66.96.58;N/A;ePMP Force 300-19R AP;;49151-HOQK156;4.6.1-RC14;117d 20h 15m;Online;36d 21h 18m;3187126;N/A
Base Infrastructure;00:04:56:42:88:58;45425-ZCKE149;10.68.253.247;N/A;ePMP Force 300-19R SM;;45425-ZCKE149 EL PLAYON VEREDA SANTA ISABEL;4.6.1-RC14;117d 20h 29m;Online;1d 8h 48m;118125;N/A
Base Infrastructure;58:C1:7A:4F:E6:00;TOL_Asoleado_AP3;10.67.201.72;N/A;ePMP Force 200 AP;E8WM03DTP83V;;4.6.2;117d 20h 43m;Online;2d 8h 27m;203267;N/A
Base Infrastructure;00:04:56:46:4D:BA;TOL_Doima_AP3;10.67.198.18;N/A;ePMP Force 300-19R AP;E6XA0C9TNFT9;;4.6.1-RC26;117d 22h 10m;Online;37d 21h 26m;3273989;N/A
Base Infrastructure;00:04:56:46:60:C1;32654-ZGYO465;10.71.37.131;N/A;ePMP Force 300-19R SM;;IE_LAS_DELICIAS;4.6.1-RC14;117d 22h 13m;Offline;1d 20h 37m;160664;N/A
Base Infrastructure;58:C1:7A:4F:E9:16;COR.San Rafael_AP2;10.71.37.130;N/A;ePMP Force 200 AP;E8WM03V0BWV1;32654-ZGYO465;4.6.2;117d 23h 20m;Offline;1d 20h 37m;160649;N/A
Base Infrastructure;00:04:56:46:40:40;37615-ZGYO787;10.70.93.70;N/A;ePMP Force 300-19R SM;;I.AGRICOLA_DE_CONEJO;4.6.1-RC14;118d 0h 37m;Online;12d 18h 56m;1105007;N/A
Base Infrastructure;00:04:56:46:5C:EB;45045-ZZZY491 VEREDA GRIMA ALTA;10.68.253.131;N/A;ePMP Force 300-19R SM;E6XB05VRN3CD;45045-ZZZY491 VEREDA GRIMA ALTA CHARALA;4.6.2;118d 0h 44m;Offline;14d 19h 18m;1279115;N/A
Base Infrastructure;00:04:56:46:4C:FE;70258-ZIFV676;10.68.227.87;N/A;ePMP Force 300-19R SM;E6XA0C6P71J9;MUTATA-BATALLON-17;4.6.1-RC26;118d 1h 27m;Online;5d 3h 0m;442810;N/A
Base Infrastructure;00:04:56:46:4D:E8;TOL_Payande_2_AP2;10.67.195.56;N/A;ePMP Force 300-19R AP;E6XA0CBLTLK0;49446-ZCKE549;4.6.1-RC14;118d 19h 1m;Online;0d 21h 27m;77228;30 Meters
Base Infrastructure;00:04:56:46:4E:04;49446-ZCKE549;10.67.195.57;N/A;ePMP Force 300-19R SM;;SAN_LUIS_VDA_SAN_LUIS_SEDE_PAYANADE;4.6.1-RC14;118d 19h 4m;Offline;45d 4h 27m;3904077;N/A
Base Infrastructure;00:04:56:46:4B:42;74151-HOQK856;10.70.93.245;N/A;ePMP Force 300-19R SM;;EL COPEY_VDA. LA PACHITA;4.6.1-RC14;118d 19h 6m;Online;7d 23h 17m;688659;N/A
Base Infrastructure;00:04:56:42:88:A4;43049-ZZZY671;10.68.254.103;N/A;ePMP Force 300-19R SM;;43049-ZZZY671 VDA EL ROSAL PAMPLONA;4.6.1-RC14;118d 19h 6m;Offline;116d 17h 56m;10087005;N/A
Base Infrastructure;00:04:56:42:73:46;NOR.Pamplona-3;10.68.254.102;N/A;ePMP Force 300-19R AP;;43049-ZZZY671;4.6.1-RC14;118d 19h 55m;Offline;116d 17h 56m;10087020;N/A
Base Infrastructure;00:04:56:42:9D:70;MAG.Algarrobo_AP2;10.70.93.244;N/A;ePMP Force 300-19R AP;;74151-HOQK856;4.6.1-RC14;118d 21h 26m;Online;4d 22h 59m;428388;N/A
Base Infrastructure;00:04:56:46:4A:C8;46581-ZZZY676;10.67.203.73;N/A;ePMP Force 300-19R SM;;SAN JOSÉ DE MIRANDA_LUCUGUTA;4.6.1-RC14;118d 21h 52m;Online;1d 14h 37m;139077;N/A
Base Infrastructure;58:C1:7A:71:31:62;NOR.Pacheli_AP4;10.68.251.238;N/A;ePMP 3000 AP;;42746-ZIFV263_42741-ZIFV266;4.6.1-RC14;118d 22h 9m;Online;17d 23h 40m;1554016;N/A
Base Infrastructure;00:04:56:46:5B:49;44703-HOQK351;10.65.191.10;N/A;ePMP Force 300-19R SM;;CORREGIMIENTO_EL_HATILLO_ALBANIA;4.6.1-RC14;118d 22h 51m;Online;36d 23h 15m;3194105;N/A
Base Infrastructure;00:04:56:42:87:0A;SND.Sucre_AP5;10.65.191.2;N/A;ePMP Force 300-19R AP;;44703-HOQK351;4.6.1-RC14;118d 23h 0m;Online;0d 20h 44m;74656;N/A
Base Infrastructure;00:04:56:42:89:1E;53582-HOQK541;10.70.119.245;N/A;ePMP Force 300-19R SM;;I.E. JUNIN;4.6.1-RC14;119d 0h 41m;Online;11d 20h 30m;1024243;N/A
